
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\behavior\common_behavior,53,5206,2155,1550,196,744,5,2307,15231,1227,11986
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\behavior\state_machines,77,6185,2171,1532,170,839,2,3175,20892,1797,17443
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\behavior\use_cases,23,1940,668,476,45,259,4,1013,6595,575,5267
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\foundation,148,14577,6274,4312,675,1873,13,6430,41548,3390,33237
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\foundation\core,132,12415,5194,3594,547,1617,10,5604,36822,3044,29846
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\foundation\extension_mechanisms,15,2162,1080,718,128,256,3,826,4726,346,3391
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\model_management,8,986,462,325,36,145,2,379,2402,184,1808
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\util,7,944,374,276,87,110,0,460,2674,139,1357
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\util\namespace,4,535,154,115,25,60,0,321,1629,93,905
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\util,32,4168,1669,1176,294,413,1,2086,13744,746,7218
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\util\logging,2,201,74,55,7,19,0,108,645,46,452
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\util\osdep,3,498,171,135,17,37,1,290,1751,102,890
